539.28,539.29,539.31,539.29,539.31,533.17,539.28,539.31,539.29,534.23,539.28,539.27,539.27,539.29,531.54,539.31,550.68,539.3,539.29,539.27,1
539.23,539.25,539.21,539.23,539.13,555.23,539.2,539.28,546.78,536.81,539.17,539.61,539,539.49,543.84,539.36,538.93,538.96,539.43,539.09,1
539.17,539.59,539.35,539.24,539.57,543.35,539.27,539.39,541.07,543.85,538.99,539.35,538.75,539.44,535.25,539.22,529.14,539.3,538.76,539.25,1
539.28,539.24,539.23,539.25,539.29,552.54,539.3,539.29,547.3,537.64,539.26,539.34,539.31,539.23,537.73,539.25,530.44,539.25,539.27,539.32,1
539.21,539.46,539.42,539.25,539.48,552.43,539.72,539.22,533.6,538.4,538.98,539.08,538.84,539.51,541.76,539.88,527.88,539.3,539.19,539.04,1
539.32,539.27,539.3,539.26,539.29,538.77,539.27,539.27,534.42,538.73,539.28,539.3,539.29,539.3,531.86,539.31,545.71,539.29,539.32,539.3,1
539.31,539.3,539.28,539.29,539.31,542.88,539.28,539.3,534.31,543.2,539.29,539.3,539.29,539.32,542.4,539.27,549.77,539.28,539.3,539.28,1
539.43,539.12,539.75,539.24,539.63,554.19,539.31,539.18,536.6,537.67,539.44,539.57,538.98,538.75,538.67,539.39,541.53,538.97,539.3,539.07,1
539.1,539.22,539.46,539.51,539.11,552.5,538.9,539.41,545.39,536.81,539.34,539.53,539.24,539.15,535.67,539.32,549.62,539.29,539.42,539.36,1
539.28,539.24,539.15,539.29,539.37,540.05,539.17,539.36,535.74,541.46,539.33,539.31,539.4,539.35,538.65,539.46,543.08,539.28,539.12,539.08,1
539.27,539.34,539.3,539.38,539.27,533.74,539.29,539.26,531.16,540.26,539.33,539.34,539.27,539.29,542.78,539.3,542.42,539.29,539.32,539.3,1
539.07,539.14,539.1,539.4,539.24,546.17,539.25,539.28,545.08,544.45,539.32,539.01,539.37,539.25,537.04,539.09,539.06,539.32,539.23,539.61,1
539.36,539.16,539.39,539.24,539.28,541.6,539.25,539.44,534.58,542.92,539.36,539.05,539.26,539.18,540.4,539.31,529.55,539.26,539.2,539.3,1
539.64,539.38,539.17,539.12,539.34,547.36,539.35,539.48,539.56,540.08,539.41,539.18,539.31,539.2,544.19,539.38,540.61,539.06,539.2,539.29,1
539.3,539.33,539.23,539.37,539.34,547.31,539.26,539.29,543.46,534.79,539.38,539.24,539.32,539.24,547.7,539.29,531.37,539.19,539.36,539.31,1
538.99,539.19,539.28,539.37,539.3,524.79,539.5,539.24,532.41,537.35,539.27,539.16,539.39,539.03,546.4,539.37,533.35,539.19,539.16,539.33,1
539.41,539.17,539.34,539.26,538.9,539.72,539.77,539.35,540.2,535.44,539.47,539.18,539.53,539.15,539.93,539.12,530.91,539.43,539.58,539.23,1
