264.3,263.35,264.22,264.23,263.48,261.31,263.43,263.41,263.26,264.08,264.86,264.06,263.68,264.32,264.19,263.92,264.24,263.85,264.1,264.06,263.58,264,263.98,253.23,263.88,264.04,263.66,264.03,258.73,263.81,263.95,263.47,263.93,263.69,264.15,264.15,264.16,264.44,264.82,264.39,265.28,264.1,264.55,264.53,264.43,263.96,264.15,264.19,252.09,263.91,1
264.15,264.18,264.14,264.18,264.07,264.07,264.12,264.07,264.11,264.15,264.14,264.03,264.17,264.06,264.12,264.13,264.16,264.12,264.02,264.11,263.99,264.04,264.16,260.28,264.14,264.07,264.02,264.07,258.52,264.15,264.13,264.07,264.03,264.14,264.07,264.06,264.14,264.09,264.1,264.14,264.15,264.1,264.1,264.15,264.1,264.14,264.2,264.16,251.85,264.06,1
264.44,263.45,264.06,264.26,263.95,238.79,263.28,263.68,263.38,263.95,264.85,263.59,263.63,264.25,264.36,263.88,263.9,264.39,263.95,263.94,263.31,263.96,264.11,235.86,263.9,263.89,263.95,264.13,258.69,263.99,263.9,263.54,264.09,264.19,264.21,263.68,264.14,264.21,264.92,264.29,264.98,264,264.24,264.54,264.25,263.52,263.96,264.34,251.96,263.87,1
264.44,263.51,263.97,264.49,263.66,239.68,263.44,263.49,263.78,263.64,264.72,263.54,263.43,264.16,264.33,264.19,263.94,264.5,263.95,264.01,263.49,263.96,264.17,236.97,264.21,263.84,263.87,264.01,258.46,264.17,263.94,263.75,264.06,264.39,264.04,263.55,264.42,264.06,264.58,264.42,264.76,264.21,263.96,264.44,264.17,263.57,263.74,264.56,252.16,263.61,1
264.38,263.75,263.55,264.42,264.14,251.53,262.93,263.94,263.47,264.26,264.89,264.02,263.25,264.16,264.21,263.79,263.55,264.52,264.15,263.31,263.8,263.47,264.11,254.75,263.73,264.52,264.48,263.86,258.59,263.46,263.62,264.28,263.38,263.72,263.5,263.55,264.52,263.57,265.06,264.55,265.08,264.18,264.1,264.7,263.88,263.85,264.22,264.46,252.46,263.19,1
264.23,263.51,264.08,264.34,264.11,259.23,263.29,263.55,263.57,263.93,264.71,263.51,263.79,264.16,264.33,263.89,264.09,264.43,263.99,264.03,263.27,263.7,264.17,234.84,263.82,263.84,263.88,264.16,258.62,263.91,263.98,263.64,264.04,264.39,264.13,263.51,264.07,264.11,265.17,264.21,264.8,264,264.17,264.68,264.26,263.48,264.04,264.27,251.74,263.9,1
264.51,263.36,264.21,264.1,264.15,249.89,263.02,263.29,263.39,263.56,265.31,263.72,264.01,263.51,264.21,263.83,263.7,264.77,263.73,263.68,262.9,264.15,264.15,250.47,264.16,264.21,264.55,264.77,258.25,263.94,263.84,263.77,263.88,264.29,264.1,263.34,264.59,263.91,264.86,264.3,265.44,263.72,264.27,264.76,263.68,263.82,264.29,263.75,252.07,263.75,1
264.4,263.64,263.73,264.07,263.52,258.61,262.46,263.49,263.58,263.36,265.05,263.68,263.43,264.34,264.7,263.93,264.05,264.65,264.29,263.8,263.12,264.46,264.22,238.87,263.73,263.89,264.07,264.24,258.59,264.19,263.78,263.14,264.04,264.19,264.61,263.6,264.34,264,265.4,264.46,264.87,264.56,264.86,265.11,264.3,263.38,263.57,263.8,251.84,264.4,1
264.48,263.47,264.11,264.35,263.94,256.77,263.28,263.75,263.43,263.93,264.87,263.61,263.62,264.24,264.32,263.88,263.89,264.35,263.95,263.88,263.37,263.86,264.07,248.72,263.91,263.9,264.05,264.05,258.66,263.85,263.9,263.57,264.03,264.17,264.2,263.68,264.17,264.19,264.98,264.32,264.91,263.96,264.27,264.65,264.28,263.54,264.01,264.23,251.9,263.75,1
264.69,263.57,264.14,264.24,263.82,249.91,263,263.69,263.42,263.81,264.97,263.67,263.73,264.21,264.26,263.89,263.92,264.37,264,263.83,263.36,263.88,264.07,249.84,264.02,263.72,263.95,264.16,258.51,263.95,263.92,263.71,264.03,264.01,264.09,263.99,264.22,263.94,265.1,264.29,264.77,263.87,263.98,264.49,264.36,263.61,264.07,264.49,251.9,264.01,1
264.41,263.52,264.15,264.43,263.97,261.76,263.33,263.79,263.42,263.96,264.84,263.63,263.59,264.22,264.33,263.88,263.92,264.27,263.88,263.99,263.4,263.9,264.11,241.4,264.01,263.8,264.02,263.99,258.62,263.96,263.87,263.63,264.02,264.22,264.17,263.91,264.18,264.2,265,264.42,265.02,264.01,264.3,264.52,264.22,263.69,263.86,264.38,252.04,263.89,1
264.45,263.07,264.01,264.3,263.94,253.63,263.07,263.67,263.42,263.99,265.1,263.5,263.36,264.52,264.53,263.92,264.04,264.41,263.95,263.88,263.26,263.98,264,254.82,263.91,263.93,263.76,264.09,258.55,264.21,263.87,263.67,263.89,264.25,264.33,263.51,264.05,264.05,264.78,264.34,264.97,263.95,264.2,264.48,264.16,263.35,263.83,264.59,251.73,263.78,1
264.56,263.24,264.14,263.91,263.48,263.06,263.47,263.44,263.69,263.71,264.89,264.32,263.87,264.78,264.37,263.88,264.43,264.28,264.36,263.78,263.1,264.25,264.19,248.52,263.56,264.28,263.84,263.91,258.44,263.95,264.5,262.88,263.64,264.45,264.42,263.97,264.43,263.72,265.08,265.06,264.98,264.14,264.53,264.88,264.05,262.61,263.69,264.7,252.21,264.24,1
264.45,263.43,264.05,264.33,263.91,262.84,263.25,263.7,263.39,263.98,264.9,263.65,263.6,264.26,264.37,263.87,263.88,264.35,263.91,263.92,263.37,263.94,264.08,241.76,263.88,263.86,263.99,264.07,258.68,263.92,263.91,263.54,264.05,264.15,264.22,263.76,264.19,264.19,264.97,264.2,265.01,264.05,264.23,264.5,264.22,263.46,264,264.46,251.95,263.88,1
264.36,263.63,264.2,264.34,264.31,258.39,263.34,263.84,263.24,264.11,264.6,263.96,263.5,264.2,263.96,263.77,264.57,264.11,263.92,263.71,263.33,263.68,263.92,257.81,264.1,264.01,263.82,264.15,258.74,263.9,263.85,263.79,263.98,264.48,264.1,263.65,264.25,264.3,265.15,264.12,265,263.36,264.41,264.67,264.3,263.23,264,264.66,252.2,263.99,1
