738.32,751.43,750.28,749.28,744.34,751.21,730.8,732.03,731.94,750.74,1
737.84,751.15,750.83,749.7,743.42,750.83,736.51,744.29,731.61,749.92,1
738.36,751.49,750.05,749.14,744.39,751.17,735.01,719.8,731.85,750.64,1
738.38,751.24,750.79,749.15,744.25,751.15,722.31,727.32,732.05,750.82,1
738.48,751.5,750.35,749.11,744.17,751.22,734.34,725.28,731.92,750.41,1
738.81,751.14,749.98,749.1,744.17,751.47,729.36,715.98,732.2,750.01,1
738.52,751.58,749.88,749.22,744.26,751.61,724.56,716.25,731.86,750.92,1
738.09,751.43,749.38,749.7,744.17,751.28,727.36,715.75,731.7,750.33,1
738.43,751.24,750.27,749.32,744.39,751.14,734.8,734.55,732.03,750.79,1
738.47,751.94,750.09,748.81,744.68,750.83,731.25,725.94,731.94,750.72,1
738.62,751.64,750.01,749.38,744.28,751.69,723.57,724.18,731.77,750.24,1
738.34,751.51,750.29,749.32,744.25,751.2,723.53,742.58,731.97,750.64,1
738.4,751.56,750.3,749.37,744.28,750.92,734.3,726.68,732,750.81,1
738.33,751.29,749.97,749.83,744.83,751.03,737.14,716.34,731.49,750.89,1
738.37,751.4,750.36,749.34,744.4,751.18,731,733.7,731.92,750.73,1
738.28,751.37,750.4,749.32,744.49,751.14,733.28,717.44,732.06,750.69,1
738.38,751.18,750.44,749.29,744.45,751.03,730.69,738.76,732.21,750.78,1
738.41,751.82,751.01,749.52,744.58,751.13,724.32,725.36,732.44,750.88,1
737.78,751.13,749.71,749.06,745.38,750.74,728.09,725.47,732.26,750.13,1
738.33,751.57,750.27,749.24,744.34,751.09,734.67,730.3,731.99,750.71,1
738.33,751.23,749.89,749.13,744.28,751.24,734.86,739.95,731.76,750.74,1
739.47,751.14,750.03,749.34,743.91,751.38,733.95,739.15,731.72,750.94,1
738.59,751.27,750.38,749.59,744.26,751.31,729.72,740.96,731.83,750.76,1
738.14,751.3,749.96,749.22,744.45,751.41,726.37,725.93,731.64,750.46,1
738.36,751.4,750.28,749.65,744.73,751.53,734.78,735.91,731.22,750.89,1
738.62,751.23,750.25,749.47,745.15,751.78,729.8,723.93,732.55,751.46,1
738.51,751.61,750.34,749.76,744.43,751.43,723.29,741.68,732.37,751.28,1
738.3,751.43,750.37,749.24,744.29,751.31,722.69,745.48,731.91,750.75,1
738.31,751.6,750.84,749.2,743.75,751.51,724.52,732.47,730.92,750.93,1
738.09,752.14,750,749.24,743.92,751.62,730.63,724.17,731.62,750.94,1
738.17,751.97,749.77,748.62,744.43,751.15,723.75,737.76,732.1,751,1
738.21,751.15,750.41,749.42,744.36,751.22,725.43,733.98,731.82,750.56,1
738.15,751.55,750.28,749.22,744.42,751.07,730.67,718.44,731.85,750.71,1
738.8,751.3,750.51,749.26,744.71,751.31,723.8,724.43,731.88,751.01,1
738.38,751.44,750.25,749.29,744.33,751.23,734.19,720.09,731.97,750.7,1
738.18,751.32,749.87,748.82,744.06,751.21,734.62,717.14,732,750.64,1
738.21,751.22,750.32,749.26,744.15,751.36,729.2,727.38,731.79,750.79,1
738.36,751.39,750.37,749.25,744.38,751.2,736.54,736.96,731.93,750.76,1
738.12,751.44,750.17,749.36,743.79,750.37,730.98,717.21,731.35,751.02,1
738.27,751.22,750.43,749.1,744.33,751.06,730.11,726.28,732.07,750.86,1
738.22,751.3,750.22,749.23,744.36,751.32,732.65,736.74,731.99,750.92,1
738.15,751.06,750.37,748.68,743.59,751.22,725.19,732.76,732.01,750.38,1
738.43,751.35,750.28,749.23,744.31,751.5,723.32,737.71,732.18,750.75,1
738.27,751.38,750.37,749.33,744.37,751.25,727.63,726.95,731.99,750.64,1
738.66,751.77,749.77,750.2,744.41,751.38,724.24,717.41,731.58,751.09,1
738.42,751.43,750.28,749.16,744.36,751.33,723.96,745.62,731.85,751.02,1
738.51,751.29,749.81,749.25,744.43,751.09,729.43,717.62,732.31,750.63,1
738.22,752,749.7,748.44,744.09,751.26,728.63,718.65,731.95,750.06,1
737.41,751.4,749.97,748.65,744.24,750.95,730.21,746.12,731.32,750.02,1
